exp,group.visDemRaven,group,criterion,model,param,id,param_estimate
exp3,visible,unskilled,lpp,VS,alpha_i,10314,0.115729447459132
exp3,visible,skilled,lpp,VS,alpha_i,10315,0.199518256471116
exp3,visible,unskilled,lpp,VS,alpha_i,10316,0.328694151522725
exp3,visible,skilled,lpp,VS,alpha_i,10317,0.955083312296319
exp3,visible,unskilled,lpp,VS,alpha_i,10318,0.108966975756936
exp3,visible,skilled,lpp,VS,alpha_i,10319,0.117867572200297
exp3,visible,unskilled,lpp,VS,alpha_i,10320,0.484331005023912
exp3,visible,skilled,lpp,VS,alpha_i,10321,0.307113407153545
exp3,visible,unskilled,lpp,VS,alpha_i,10322,0.006175050656267
exp3,visible,skilled,lpp,VS,alpha_i,10323,0.284758505392754
exp3,visible,skilled,lpp,VS,alpha_i,10401,0.427303899039429
exp3,visible,unskilled,lpp,VS,alpha_i,10402,0.065775899049359
exp3,visible,skilled,lpp,VS,alpha_i,10403,0.209903386157494
exp3,visible,unskilled,lpp,VS,alpha_i,10404,0.011552730761893
exp3,visible,skilled,lpp,VS,alpha_i,10405,0.017547252000598
exp3,visible,unskilled,lpp,VS,alpha_i,10406,0.143409525430995
exp3,visible,skilled,lpp,VS,alpha_i,10407,0.144874073458498
exp3,visible,unskilled,lpp,VS,alpha_i,10408,0.155159323385302
exp3,visible,skilled,lpp,VS,alpha_i,10409,0.82707717135198
exp3,visible,unskilled,lpp,VS,alpha_i,10410,0.258514724135873
exp3,visible,skilled,lpp,VS,alpha_i,10411,0.283843354409524
exp3,visible,unskilled,lpp,VS,alpha_i,10412,0.024965715388617
exp3,visible,skilled,lpp,VS,alpha_i,10413,0.257621745027493
exp3,visible,unskilled,lpp,VS,alpha_i,10414,0.043958460083112
exp3,visible,skilled,lpp,VS,alpha_i,10415,0.175166399889346
